[RELA_INVERSE]
3_UTR_of|Has_3_UTR
5_UTR_of|Has_5_UTR
Abnormal_Cell_Affected_By_Chemical_Or_Drug|Chemical_Or_Drug_Affects_Abnormal_Cell
Abnormality_Associated_With_Allele|Allele_Has_Abnormality
Abstract_of|has_Abstract
Activity_Of_Allele|Allele_Has_Activity
Allele_Absent_From_Wild-type_Chromosomal_Location|Chromosomal_Location_Of_Wild-type_Gene
Allele_Has_Abnormality|Abnormality_Associated_With_Allele
Allele_Has_Activity|Activity_Of_Allele
Allele_In_Chromosomal_Location|Chromosomal_Location_Of_Allele
Allele_Plays_Altered_Role_In_Process|Process_Altered_By_Allele
Allele_Plays_Role_In_Metabolism_Of_Chemical_Or_Drug|Chemical_Or_Drug_Metabolism_Is_Associated_With_Allele
Allele_of|Has_Allele
Amino_Acid_Variant_of|Has_Amino_Acid_Variant
Anatomic_Structure_Has_Location|Is_Location_Of_Anatomic_Structure
Anatomic_Structure_Is_Physical_Part_Of|Has_Physical_Part_Of_Anatomic_Structure
Anatomy_Originated_From_Biological_Process|Biological_Process_Has_Result_Anatomy
Aneuploidy_Addition_of|Has_Aneuploidy_Addition
Aneuploidy_Deletion_of|Has_Aneuploidy_Deletion
Arm_Location_of|Has_Arm_Location
Arm_of|Has_Arm
Associated_With_Malfunction_Of_Gene_Product|Gene_Product_Malfunction_Associated_With_Disease
Author_of|has_Author
Band_Location_of|Has_Band_Location
Band_of|Has_Band
Biological_Process_Has_Associated_Location|Is_Location_Of_Biological_Process
Biological_Process_Has_Initiator_Chemical_Or_Drug|Chemical_Or_Drug_Initiates_Biological_Process
Biological_Process_Has_Initiator_Process|Process_Initiates_Biological_Process
Biological_Process_Has_Result_Anatomy|Anatomy_Originated_From_Biological_Process
Biological_Process_Has_Result_Biological_Process|Biological_Process_Results_From_Biological_Process
Biological_Process_Has_Result_Chemical_Or_Drug|Chemical_Or_Drug_Is_Product_Of_Biological_Process
Biological_Process_Involves_Chemical_Or_Drug|Chemical_Or_Drug_Plays_Role_In_Biological_Process
Biological_Process_Involves_Gene_Product|Gene_Product_Plays_Role_In_Biological_Process
Biological_Process_Is_Part_Of_Process|Process_Includes_Biological_Process
Biological_Process_Results_From_Biological_Process|Biological_Process_Has_Result_Biological_Process
Biomarker_Type_Includes_Gene|Gene_Is_Biomarker_Type
Biomarker_Type_Includes_Gene_Product|Gene_Product_Is_Biomarker_Type
