# This is the list of valid HTML character entities
# This list is used by QA3.pl
# Do not remove this file
#
# 08/15/02 - WAK
# from:
# http://www.w3.org/MarkUp/html3/latin1.html
# http://www.cwru.edu/help/interHTML/examples/isolist0.html
# 
#Name|Syntax|Description|
lt|&lt;|Less than sign
gt|&gt;|Greater than sign
amp|&amp;|Ampersand
quot|&quot;|Double quote sign
#
space|&nbsp;|non-breaking space
Aacute|&Aacute;|Capital A, acute accent
Agrave|&Agrave;|Capital A, grave accent
Acirc|&Acirc;|Capital A, circumflex accent
Atilde|&Atilde;|Capital A, tilde
Aring|&Aring;|Capital A, ring
Auml|&Auml;|Capital A, dieresis or umlaut mark
AElig|&AElig;|Capital AE dipthong (ligature)
Ccedil|&Ccedil;|Capital C, cedilla
Eacute|&Eacute;|Capital E, acute accent
Egrave|&Egrave;|Capital E, grave accent
Ecirc|&Ecirc;|Capital E, circumflex accent
Euml|&Euml;|Capital E, dieresis or umlaut mark
Iacute|&Iacute;|Capital I, acute accent
Igrave|&Igrave;|Capital I, grave accent
Icirc|&Icirc;|Capital I, circumflex accent
Iuml|&Iuml;|Capital I, dieresis or umlaut mark
ETH|&ETH;|Capital Eth, Icelandic
Ntilde|&Ntilde;|Capital N, tilde
Oacute|&Oacute;|Capital O, acute accent
Ograve|&Ograve;|Capital O, grave accent
Ocirc|&Ocirc;|Capital O, circumflex accent
Otilde|&Otilde;|Capital O, tilde
Ouml|&Ouml;|Capital O, dieresis or umlaut mark
Oslash|&Oslash;|Capital O, slash
Uacute|&Uacute;|Capital U, acute accent
Ugrave|&Ugrave;|Capital U, grave accent
Ucirc|&Ucirc;|Capital U, circumflex accent
Uuml|&Uuml;|Capital U, dieresis or umlaut mark
Yacute|&Yacute;|Capital Y, acute accent
#
THORN|&THORN;|Capital THORN, Icelandic
szlig|&szlig;|Small sharp s, German (sz ligature)
#
aacute|&aacute;|Small a, acute accent
agrave|&agrave;|Small a, grave accent
acirc|&acirc;|Small a, circumflex accent
atilde|&atilde;|Small a, tilde
atilde|&atilde;|Small a, tilde
auml|&auml;|Small a, dieresis or umlaut mark
aelig|&aelig;|Small ae dipthong (ligature)
ccedil|&ccedil;|Small c, cedilla
eacute|&eacute;|Small e, acute accent
egrave|&egrave;|Small e, grave accent
ecirc|&ecirc;|Small e, circumflex accent
euml|&euml;|Small e, dieresis or umlaut mark
iacute|&iacute;|Small i, acute accent
igrave|&igrave;|Small i, grave accent
icirc|&icirc;|Small i, circumflex accent
iuml|&iuml;|Small i, dieresis or umlaut mark
eth|&eth;|Small eth, Icelandic
ntilde|&ntilde;|Small n, tilde
oacute|&oacute;|Small o, acute accent
ograve|&ograve;|Small o, grave accent
ocirc|&ocirc;|Small o, circumflex accent
otilde|&otilde;|Small o, tilde
ouml|&ouml;|Small o, dieresis or umlaut mark
oslash|&oslash;|Small o, slash
uacute|&uacute;|Small u, acute accent
ugrave|&ugrave;|Small u, grave accent
ucirc|&ucirc;|Small u, circumflex accent
uuml|&uuml;|Small u, dieresis or umlaut mark
yacute|&yacute;|Small y, acute accent
thorn|&thorn;|Small thorn, Icelandic
yuml|&yuml;|Small y, dieresis or umlaut mark
#
# Numerical
#Reference           Description
#&#00;-&#08;         Unused 
|&#09;|Horizontal tab
|&#10;|Line feed
#&#11;-&#31;         Unused
#
|&#32;|Space
|&#33;|Exclamation mark
|&#34;|Quotation mark
|&#35;|Number sign
|&#36;|Dollar sign
|&#37;|Percent sign
|&#38;|Ampersand
|&#39;|Apostrophe
|&#40;|Left parenthesis
|&#41;|Right parenthesis
|&#42;|Asterisk
|&#43;|Plus sign
|&#44;|Comma
|&#45;|Hyphen
|&#46;|Period (fullstop)
|&#47;|Solidus (slash)
#
#&#48; - &#57;       Digits 0-9
|&#48;|0
|&#49;|1
|&#50;|2
|&#51;|3
|&#52;|4
|&#53;|5
|&#54;|6
|&#55;|7
|&#56;|8
|&#57;|9
#
|&#58;|Colon
|&#59;|Semi-colon
|&#60;|Less than
|&#61;|Equals aign
|&#62;|Greater than
|&#63;|Question mark
|&#64;|Commercial at
#     
#&#65;-&#90;         Letters A-Z
A|&#65;|A
B|&#66;|B
C|&#67;|C
D|&#68;|D
E|&#69;|E
F|&#70;|F
G|&#71;|G
H|&#72;|H
I|&#73;|I
J|&#74;|J
K|&#75;|K
L|&#76;|L
M|&#77;|M
N|&#78;|N
O|&#79;|O
P|&#80;|P
Q|&#81;|Q
R|&#82;|R
S|&#83;|S
T|&#84;|T
U|&#85;|U
V|&#86;|V
W|&#87;|W
X|&#88;|X
Y|&#89;|Y
Z|&#90;|Z
#
|&#91;|Left square bracket
|&#92;|Reverse solidus (backslash)
|&#93;|Right square bracket
|&#94;|Caret
|&#95;|Horizontal bar
|&#96;|Acute accent
#
#&#97;-&#122;        Letters a-z
a|&#97;|a
b|&#98;|b
c|&#99;|c
d|&#100;|d
e|&#101;|e
f|&#102;|f
g|&#103;|g
h|&#104;|h
i|&#105;|i
j|&#106;|j
k|&#107;|k
l|&#108;|l
m|&#109;|m
n|&#110;|n
o|&#111;|o
p|&#112;|p
q|&#113;|q
r|&#114;|r
s|&#115;|s
t|&#116;|t
u|&#117;|u
v|&#118;|v
w|&#119;|w
x|&#120;|x
y|&#121;|y
z|&#122;|z
#
|&#123;|Left curly brace
|&#124;|Vertical bar
|&#125;|Right curly brace
|&#126;|Tilde
#
# &#127;- &#159;      Unused
#
|&#160;|non-breaking space
